
sè:1001,"Th?nh phÇn dinh d?ìng(Nutrients)","?V(Unit)","H?m l??ng(Value)","TLTK(Source)",Unnamed: 0,"Th?nh phÇn dinh d?ìng(Nutrients).1","?V(Unit).1","H?m l??ng(Value).1","TLTK(Source).1"
0,"N??c (Water )N?ng l??ng (Energy )ProteinLipid (Fat)Glucid (Carbohydrate)Celluloza (Fiber)Tro (Ash)","gKCalKJggggg","14.034414418.61.574.50.60.8","111111",,"T?ng s? isoflavon (Total isoflavone)DaidzeinGenisteinGlycetin","mgmgmgmg","----",
1,,,,,,"T?ng s? acid béo no(Total saturated fatty acid)Palmitic (C16:0)Margaric (C17:0)Stearic (C18:0)Arachidic (C20:0)Behenic (22:0)Lignoceric (C24:0)TS acid béo không no 1 n?i ?ôi(Total monounsaturated fatty acid)Myristoleic (C14:1)Palmitoleic (C16:1)Oleic (C18:1)TS acid béo không no nhi?u n?i ?ôi(Total polyunsaturated fatty acid)Linoleic (C18:2 n6)Linolenic (C18:2 n3)Arachidonic (C20:4)Eicosapentaenoic  (C20:5 n3)Docosahexaenoic (C22:6 n3)TS acid béo trans (Total trans fatty acid)","gggggggggggggggggg","-------------------",
2,"???ng t?ng s? (Sugar)Galactoza (Galactose)Maltoza (Maltose)Lactoza (Lactose)Fructoza (Fructose)Glucoza (Glucose)Sacaroza (Sucrose)","ggggggg","-------",,,,,,
3,"Calci (Calcium)S?t (Iron)Magiê (Magnesium)Mangan (Manganese)Phospho (Phosphorous)Kali (Potassium)Natri (Sodium)K?m  (Zinc)??ng (Copper)Selen (Selenium)","mgmgmgmgmgmgmgmg?g?g","321.20171.1009828232.20280-","111111111",,,,,
4,,,,,,,,,
5,"Vitamin C (Ascorbic acid)Vitamin B1 (Thiamine)Vitamin B2 (Riboflavin)Vitamin PP (Niacin)Vitamin B5 (Pantothenic acid)Vitamin B6 (Pyridoxine)Folat (Folate)Vitamin B9 (Folic acid)Vitamin H (Biotin )Vitamin B12 (Cyanocobalamine)","mgmgmgmgmgmg?g?g?g?g","00.140.062.4------","1122",,Cholesterol,mg,0,2
6,,,,,,Phytosterol,mg,-,
7,,,,,,"LysinMethioninTryptophanPhenylalaninThreoninValinLeucinIsoleucinArgininHistidinCystinTyrosinAlaninAcid asparticAcid glutamicGlycinProlinSerin","mgmgmgmgmgmgmgmgmgmgmgmgmgmgmgmgmgmg","20766-229177317531222435133961113474431210281376309","22222222222222222"
8,"Vitamin A (Retinol)Vitamin D (Calciferol )Vitamin E (Alpha-tocopherol )Vitamin K (Phylloquinone)","?g?gmg?g","00.00--","11",,,,,
9,"Beta-carotenAlpha-carotenBeta-cryptoxanthinLycopenLutein + Zeaxanthin","?g?g?g?g?g","00000","11111",,,,,
10,Purin,mg,-,,,,,,
11,,,,,,,,,
sè:1002,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,47,1,Linoleic (C18:2 n6),g,-,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,0.02,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.03,1,Lysin,mg,230,1
29,Vitamin PP (Niacin),mg,0.6,1,Methionin,mg,166,1
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,61,1
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,421,1
32,Folat (Folate),?g,-,,Threonin,mg,310,1
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,418,1
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,1081,1
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,316,1
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,362,1
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,235,1
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,134,1
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,330,1
40,Beta-caroten,?g,0,3,Alanin,mg,650,1
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,541,1
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1634,1
43,Lycopen,?g,0,3,Glycin,mg,319,1
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,771,1
45,Purin,mg,-,,Serin,mg,429,1
sè:1016,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,10.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,3
2,N?ng l??ng (Energy ),KCal,362,,Daidzein,mg,-,
3,,KJ,1516,,Genistein,mg,-,
4,Protein,g,8.2,1,Glycetin,mg,-,
5,Lipid (Fat),g,1.6,1,T?ng s? acid béo no,g,0.110,3
6,Glucid (Carbohydrate),g,78.8,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.6,1,Palmitic (C16:0),g,0.090,3
8,Tro (Ash),g,0.8,1,Margaric (C17:0),g,0.000,3
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,0.010,3
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,0.000,3
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,0.000,3
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,0.000,3
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,0.200,3
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,0.000,3
16,Calci (Calcium),mg,12,1,Palmitoleic (C16:1),g,0.000,3
17,S?t (Iron),mg,0.80,1,Oleic (C18:1),g,0.190,3
18,Magiê (Magnesium),mg,18,3,TS acid béo không no nhi?u n?i ?ôi,g,0.190,3
19,Mangan (Manganese),mg,1.140,3,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,148,1,Linoleic (C18:2 n6),g,0.180,3
21,Kali (Potassium),mg,293,3,Linolenic (C18:2 n3),g,0.010,3
22,Natri (Sodium),mg,3,3,Arachidonic (C20:4),g,0.000,3
23,K?m  (Zinc),mg,2.29,3,Eicosapentaenoic  (C20:5 n3),g,0.000,3
24,??ng (Copper),?g,291,3,Docosahexaenoic (C22:6 n3),g,0.000,3
25,Selen (Selenium),?g,15.7,3,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,0.10,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.02,1,Lysin,mg,240,3
29,Vitamin PP (Niacin),mg,1.7,1,Methionin,mg,156,3
30,Vitamin B5 (Pantothenic acid),mg,0.295,3,Tryptophan,mg,77,3
31,Vitamin B6 (Pyridoxine),mg,0.111,3,Phenylalanin,mg,355,3
32,Folat (Folate),?g,7,3,Threonin,mg,238,3
33,Vitamin B9 (Folic acid),?g,0,3,Valin,mg,406,3
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,550,3
35,Vitamin B12 (Cyanocobalamine),?g,0,3,Isoleucin,mg,287,3
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,554,3
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,156,3
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,137,3
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,223,3
40,Beta-caroten,?g,0,3,Alanin,mg,386,3
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,625,3
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1296,3
43,Lycopen,?g,0,3,Glycin,mg,303,3
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,313,3
45,Purin,mg,-,,Serin,mg,349,3
sè:1017,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,10.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,359,,Daidzein,mg,-,
3,,KJ,1501,,Genistein,mg,-,
4,Protein,g,6.6,1,Glycetin,mg,-,
5,Lipid (Fat),g,0.4,1,T?ng s? acid béo no,g,0.390,3
6,Glucid (Carbohydrate),g,82.2,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.4,1,Palmitic (C16:0),g,0.350,3
8,Tro (Ash),g,0.4,1,Margaric (C17:0),g,0.000,3
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,0.030,3
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,0.000,3
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,0.000,3
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,0.000,3
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,0.440,3
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,0.000,3
16,Calci (Calcium),mg,24,1,Palmitoleic (C16:1),g,0.010,3
17,S?t (Iron),mg,1.90,1,Oleic (C18:1),g,0.440,3
18,Magiê (Magnesium),mg,35,3,TS acid béo không no nhi?u n?i ?ôi,g,0.380,3
19,Mangan (Manganese),mg,1.200,3,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,135,1,Linoleic (C18:2 n6),g,0.310,3
21,Kali (Potassium),mg,76,3,Linolenic (C18:2 n3),g,0.070,3
22,Natri (Sodium),mg,0,3,Arachidonic (C20:4),g,0.000,3
23,K?m  (Zinc),mg,0.80,3,Eicosapentaenoic  (C20:5 n3),g,0.000,3
24,??ng (Copper),?g,130,3,Docosahexaenoic (C22:6 n3),g,0.000,3
25,Selen (Selenium),?g,15.1,3,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,0.08,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.05,1,Lysin,mg,207,3
29,Vitamin PP (Niacin),mg,2.1,1,Methionin,mg,144,3
30,Vitamin B5 (Pantothenic acid),mg,0.819,3,Tryptophan,mg,72,3
31,Vitamin B6 (Pyridoxine),mg,0.436,3,Phenylalanin,mg,317,3
32,Folat (Folate),?g,4,3,Threonin,mg,210,3
33,Vitamin B9 (Folic acid),?g,0,3,Valin,mg,348,3
34,Vitamin H (Biotin ),?g,1,5,Leucin,mg,488,3
35,Vitamin B12 (Cyanocobalamine),?g,0,3,Isoleucin,mg,244,3
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,516,3
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,149,3
38,Vitamin E (Alpha-tocopherol ),mg,0.11,3,Cystin,mg,107,3
39,Vitamin K (Phylloquinone),?g,0,3,Tyrosin,mg,314,3
40,Beta-caroten,?g,0,3,Alanin,mg,332,3
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,549,3
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1097,3
43,Lycopen,?g,0,3,Glycin,mg,267,3
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,278,3
45,Purin,mg,-,,Serin,mg,310,3
sè:1018,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,14.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,346,,Daidzein,mg,-,
3,,KJ,1446,,Genistein,mg,-,
4,Protein,g,10.3,1,Glycetin,mg,-,
5,Lipid (Fat),g,1.1,1,T?ng s? acid béo no,g,0.320,3
6,Glucid (Carbohydrate),g,73.6,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.3,1,Palmitic (C16:0),g,0.270,3
8,Tro (Ash),g,0.7,1,Margaric (C17:0),g,0.000,3
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,0.020,3
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,0.000,3
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,0.000,3
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,0.000,3
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,0.230,3
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,0.000,3
16,Calci (Calcium),mg,29,1,Palmitoleic (C16:1),g,0.010,3
17,S?t (Iron),mg,2.00,1,Oleic (C18:1),g,0.220,3
18,Magiê (Magnesium),mg,173,1,TS acid béo không no nhi?u n?i ?ôi,g,0.780,3
19,Mangan (Manganese),mg,2.000,1,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,132,1,Linoleic (C18:2 n6),g,0.740,3
21,Kali (Potassium),mg,186,1,Linolenic (C18:2 n3),g,0.040,3
22,Natri (Sodium),mg,4,1,Arachidonic (C20:4),g,0.000,3
23,K?m  (Zinc),mg,2.50,1,Eicosapentaenoic  (C20:5 n3),g,0.000,3
24,??ng (Copper),?g,21,1,Docosahexaenoic (C22:6 n3),g,0.000,3
25,Selen (Selenium),?g,28,1,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,0.18,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.13,1,Lysin,mg,340,1
29,Vitamin PP (Niacin),mg,1.0,1,Methionin,mg,140,1
30,Vitamin B5 (Pantothenic acid),mg,1.008,3,Tryptophan,mg,110,1
31,Vitamin B6 (Pyridoxine),mg,0.341,3,Phenylalanin,mg,630,1
32,Folat (Folate),?g,44,3,Threonin,mg,380,1
33,Vitamin B9 (Folic acid),?g,0,3,Valin,mg,520,1
34,Vitamin H (Biotin ),?g,1.9,5,Leucin,mg,780,1
35,Vitamin B12 (Cyanocobalamine),?g,0,3,Isoleucin,mg,380,1
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,320,1
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,170,1
38,Vitamin E (Alpha-tocopherol ),mg,0.82,3,Cystin,mg,265,1
39,Vitamin K (Phylloquinone),?g,1.9,3,Tyrosin,mg,142,1
40,Beta-caroten,?g,0,3,Alanin,mg,278,1
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,329,1
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,3480,1
43,Lycopen,?g,0,3,Glycin,mg,341,1
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,1254,1
45,Purin,mg,14,4,Serin,mg,449,1
sè:1019,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,12.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,361,,Daidzein,mg,-,
3,,KJ,1511,,Genistein,mg,-,
4,Protein,g,8.3,1,Glycetin,mg,-,
5,Lipid (Fat),g,4.0,1,T?ng s? acid béo no,g,0.540,3
6,Glucid (Carbohydrate),g,73.0,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,1.5,1,Palmitic (C16:0),g,0.460,3
8,Tro (Ash),g,1.2,1,Margaric (C17:0),g,0.000,3
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,0.060,3
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,0.000,3
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,0.000,3
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,0.000,3
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,1.020,3
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,0.000,3
16,Calci (Calcium),mg,15,1,Palmitoleic (C16:1),g,0.000,3
17,S?t (Iron),mg,2.10,1,Oleic (C18:1),g,1.020,3
18,Magiê (Magnesium),mg,93,3,TS acid béo không no nhi?u n?i ?ôi,g,1.760,3
19,Mangan (Manganese),mg,0.460,3,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,170,1,Linoleic (C18:2 n6),g,1.710,3
21,Kali (Potassium),mg,315,3,Linolenic (C18:2 n3),g,0.050,3
22,Natri (Sodium),mg,5,3,Arachidonic (C20:4),g,0.000,3
23,K?m  (Zinc),mg,1.73,3,Eicosapentaenoic  (C20:5 n3),g,0.000,3
24,??ng (Copper),?g,230,3,Docosahexaenoic (C22:6 n3),g,0.000,3
25,Selen (Selenium),?g,15.4,3,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,3
27,Vitamin B1 (Thiamine),mg,0.17,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.08,3,Lysin,mg,195,3
29,Vitamin PP (Niacin),mg,1.9,3,Methionin,mg,145,3
30,Vitamin B5 (Pantothenic acid),mg,0.658,3,Tryptophan,mg,49,3
31,Vitamin B6 (Pyridoxine),mg,0.37,3,Phenylalanin,mg,340,3
32,Folat (Folate),?g,25,3,Threonin,mg,261,3
33,Vitamin B9 (Folic acid),?g,0,3,Valin,mg,351,3
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,850,3
35,Vitamin B12 (Cyanocobalamine),?g,0,3,Isoleucin,mg,248,3
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,345,3
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,211,3
38,Vitamin E (Alpha-tocopherol ),mg,0.42,3,Cystin,mg,125,3
39,Vitamin K (Phylloquinone),?g,0.3,3,Tyrosin,mg,282,3
40,Beta-caroten,?g,97,3,Alanin,mg,518,3
41,Alpha-caroten,?g,63,3,Acid aspartic,mg,482,3
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1300,3
43,Lycopen,?g,0,3,Glycin,mg,284,3
44,Lutein + Zeaxanthin,?g,1355,3,Prolin,mg,605,3
45,Purin,mg,-,,Serin,mg,329,3
sè:1020,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,72.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,110,,Daidzein,mg,-,
3,,KJ,459,,Genistein,mg,-,
4,Protein,g,1.7,1,Glycetin,mg,-,
5,Lipid (Fat),g,-,,T?ng s? acid béo no,g,-,
6,Glucid (Carbohydrate),g,25.7,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.5,1,Palmitic (C16:0),g,-,
8,Tro (Ash),g,0.1,1,Margaric (C17:0),g,-,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,
16,Calci (Calcium),mg,12,1,Palmitoleic (C16:1),g,-,
17,S?t (Iron),mg,0.20,1,Oleic (C18:1),g,-,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,32,1,Linoleic (C18:2 n6),g,-,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,0.04,1,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,0.01,1,Lysin,mg,-,
29,Vitamin PP (Niacin),mg,1.3,1,Methionin,mg,-,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,
32,Folat (Folate),?g,-,,Threonin,mg,-,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,-,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,-,
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,-,
40,Beta-caroten,?g,0,3,Alanin,mg,-,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,
43,Lycopen,?g,0,3,Glycin,mg,-,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,
45,Purin,mg,-,,Serin,mg,-,
sè:1021,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,25.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,297,,Daidzein,mg,-,
3,,KJ,1242,,Genistein,mg,-,
4,Protein,g,6.1,1,Glycetin,mg,-,
5,Lipid (Fat),g,0.8,1,T?ng s? acid béo no,g,-,
6,Glucid (Carbohydrate),g,66.3,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.6,1,Palmitic (C16:0),g,-,
8,Tro (Ash),g,1.2,1,Margaric (C17:0),g,-,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,
16,Calci (Calcium),mg,24,1,Palmitoleic (C16:1),g,-,
17,S?t (Iron),mg,1.00,1,Oleic (C18:1),g,-,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,
20,Phospho (Phosphorous),mg,143,1,Linoleic (C18:2 n6),g,-,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1
27,Vitamin B1 (Thiamine),mg,-,,Phytosterol,mg,-,
28,Vitamin B2 (Riboflavin),mg,-,,Lysin,mg,-,
29,Vitamin PP (Niacin),mg,-,,Methionin,mg,-,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,
32,Folat (Folate),?g,-,,Threonin,mg,-,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,-,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,-,
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,-,
40,Beta-caroten,?g,0,3,Alanin,mg,-,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,
43,Lycopen,?g,0,3,Glycin,mg,-,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,
45,Purin,mg,-,,Serin,mg,-,
sè:1022,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source)
1,N??c (Water ),g,13.0,1,T?ng s? isoflavon (Total isoflavone),mg,-,
2,N?ng l??ng (Energy ),KCal,349,,Daidzein,mg,-,
3,,KJ,1460,,Genistein,mg,-,
4,Protein,g,11.0,1,Glycetin,mg,-,
5,Lipid (Fat),g,0.9,1,T?ng s? acid béo no,g,-,
6,Glucid (Carbohydrate),g,74.2,1,(Total saturated fatty acid),,,
7,Celluloza (Fiber),g,0.3,1,Palmitic (C16:0),g,-,
8,Tro (Ash),g,0.6,1,Margaric (C17:0),g,-,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,
16,Calci (Calcium),mg,34,1,Palmitoleic (C16:1),g,-,
17,S?t (Iron),mg,1.50,1,Oleic (C18:1),g,-,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,
